,WT2D,WT2D.1,WT2D.2,WT2D.3,WT2D.4,WT2D.5,WT2D.6,WT2D.7,WT2D.8,WT2D.9,WT2D.10,WT2D.11,WT2D.12,WT2D.13,WT2D.14,WT2D.15,WT2D.16,WT2D.17,WT2D.18,WT2D.19,WT2D.20,WT2D.21,WT2D.22,WT2D.23,WT2D.24,WT2D.25,WT2D.26,WT2D.27,WT2D.28,WT2D.29,WT2D.30,WT2D.31,WT2D.32,WT2D.33,WT2D.34,WT2D.35,WT2D.36,WT2D.37,WT2D.38,WT2D.39,WT2D.40,WT2D.41,WT2D.42,WT2D.43,WT2D.44,WT2D.45,WT2D.46,WT2D.47,WT2D.48,WT2D.49,WT2D.50,WT2D.51,WT2D.52,WT2D.53,WT2D.54,WT2D.55,WT2D.56,WT2D.57,WT2D.58,WT2D.59,WT2D.60,WT2D.61,WT2D.62,WT2D.63,WT2D.64,WT2D.65,WT2D.66,WT2D.67,WT2D.68,WT2D.69,WT2D.70,WT2D.71,WT2D.72,WT2D.73,WT2D.74,WT2D.75,WT2D.76,WT2D.77,WT2D.78,WT2D.79,WT2D.80,WT2D.81,WT2D.82,WT2D.83,WT2D.84,WT2D.85,WT2D.86,WT2D.87,WT2D.88,WT2D.89,WT2D.90,WT2D.91,WT2D.92,WT2D.93,WT2D.94,WT2D.95
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0,9.08E-05,0,0,6.74E-05,0.0001874,3.07E-05,0,5.34E-05,0.0001213,0.001826698,0.0003485,1.00E-05,6.30E-06,9.07E-05,3.65E-05,0,0,0.0002384,0,0,0.0001965,0.00558,0,0.0015882,0.0002301,0.0007267,0.0004344,3.94E-05,0.0154884,0,0,2.03E-05,0,0,0,3.45E-05,0.000143,0,0,0,5.38E-05,0,0.0097777,1.65E-05,8.94E-05,6.34E-05,0,0,0.0011651,1.87E-05,2.14E-05,4.56E-05,0,0,0,0,0,0,8.35E-05,0,0.0010087,1.14E-05,0,4.28E-05,7.56E-05,4.41E-05,2.50E-06,0,6.20E-06,3.50E-06,0,0.0001102,0.0010595,1.14E-05,0.0007779,8.51E-05,0.0004568,1.58E-05,1.39E-05,0,6.11E-05,0.000158,0,7.49E-05,0,0.0005515,0,0,0,1.31E-05,0,0,0.000143,0.0002457,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,2.21E-05,2.96E-05,0.0001137,5.00E-06,2.16E-05,6.26E-05,2.24E-05,9.34E-05,0,0.0001925,0.000563599,0,0,0,3.88E-05,0.0002738,4.60E-06,6.19E-05,0.0002381,2.63E-05,0.0003177,0,0.0001157,0,0,0,0.0001067,0,9.11E-05,0,0.0005615,0,0,0,0,0,0,0,4.49E-05,2.43E-05,9.16E-05,0.0006516,0,0,0,0,0,1.27E-05,0,0.0002007,0,0.000361,0,0,0,0.0002665,0.0002103,7.14E-05,0,0,0.0001589,8.64E-05,0,0,5.67E-05,0.0003821,0,3.82E-05,0.0001582,0,0,0,0.0004843,0,0,0,0.0002421,0.0001748,0,0.0001735,1.09E-05,1.01E-05,7.66E-05,0,4.15E-05,0,0,0,5.55E-05,0,0,0.0001527,0,0.0001565,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,0.090330091,0.033103097,0.151365855,0.089629154,0.170783983,0.061849006,0.094759009,0.09958238,0.074481915,0.0034713,0.070658436,0.0026173,0,0.030947103,0.0004884,0.120578472,0.046466195,0.04975058,0,0.0028393,0,0.0806286,0.0131849,0.092381718,0.212262758,0.107185521,0.0313603,0.108084889,0.082872617,0,0.012823201,0.180343236,0.120376324,0.053703073,0.036181204,0.06745272,0.185818281,0.1398118,0.10070134,0.067019507,0.068583293,0.088434182,0.0003639,0.2439942,0.16725475,0.0001475,1.54E-05,0,4.60E-06,0.0014147,0.0607126,0.0112579,0.160192868,0.0003376,0.003726199,0.029251791,0.062932,0.0001762,0.1138968,9.40E-06,0,0.038420804,0.112220666,0.0916525,0.082317784,0,7.70E-06,0.119050224,0.10066216,0.070102579,0,0.0011481,0.034646493,0.093707591,0.1481132,0.0782223,0.062523294,0.020221882,0.042238992,0.116839442,0.1294761,0.037769796,0.130814313,0.246537051,0.048614576,0,0,0.0002017,0.064568539,0.044702009,0.011455202,0.065895093,0.0560735,0.094777328,0.07479703,5.44E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0,0.012052799,0,0.004325503,0,0,0,0.0002143,0.007780402,0.0036957,0,0.0017998,0.0038007,0.0014437,0,0.002277301,0,0,0,0,0,0,0.0220624,0.011068202,0,3.08E-05,0,0,0.0008949,0,0,0,0.006802001,0.0001181,0,0,0.0001668,0,0.002796401,0.0002762,0.0037651,0.015655897,0.038546915,0,0,0,0,0,0,0.0092501,0.0029236,0,0,0.0007447,0.024543895,4.36E-05,0.0036825,0,0.0031309,0,0,0.0011416,0,3.50E-05,0,0,0.002854899,0.012898903,0,0,0.0644886,0,0.0009414,0,0,0,0,0.002589698,0,0.010099695,0,3.83E-05,8.70E-06,7.85E-05,0.002092599,0,0,2.07E-05,0.0003083,0,0.005584101,0,0,0,0,0.004326002
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis,0,0,0,0,0,0,0,0,0,0,0,0.010242399,0,0.0012692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011173899,0,0.002395101,0,0,0,0,0,0,0,0,0,0,0,0,0.0091237,0,0,0,0,0,0,0.0013642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003186798,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,6.70E-06,0.0002431,0,0,0,0,0.0008351,0,0,7.30E-06,9.50E-05,0.000225,0,0,6.40E-06,0,0,0,4.85E-05,0,2.16E-05,0,0,0,0,0.0001592,0,0,0.0009541,0,0,0,0,9.70E-06,0,0,0,0,0,0,4.13E-05,9.75E-05,1.08E-05,0,2.39E-05,2.55E-05,0,0,0,2.06E-05,0,0,0,0.0001463,0,0,9.60E-06,7.10E-06,0,0,2.47E-05,4.28E-05,9.65E-05,0.0002292,0,2.14E-05,1.10E-05,0,7.20E-06,0,0,0,1.07E-05,0,0,0,1.69E-05,0.0001538,0.0007088,5.59E-05,0,8.00E-06,2.58E-05,0,0,0,0,0,0,0,0.0002946,0,0.0027061,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,0.0026663,0.0021319,0.023208993,0.014213909,0.0012363,0,0.0011052,0.003605499,0.006846301,0.005507899,0,0.005815599,0,0.0032483,0.010720494,8.70E-06,0.006470799,0.014761694,0.02053431,0.0021813,0.0590193,0.0003931,0,0.04854801,0,0,0,0.014425899,0,0,0,0.0002145,0,0.006543097,0.0002058,0,0.0021212,0.0045446,0,0,0.005598799,0,0,0,0,0.013727299,0,0,0.0004674,0.0013701,0.0017644,0,0,0,0,0,0,0.0012966,0.0131073,0.008888201,0,0.017087802,3.10E-06,0.0115473,0.0005527,1.83E-05,0,0,0,0.031245591,0,0,0.011011998,0.008370699,0,0,0.010572599,0.017607384,0.013984897,0.000609,0.0070211,0,3.30E-06,0,0.018909891,0,0.031824694,0.007934001,0.005129403,0.003883601,0.009564002,0,0.0369945,0.004291101,0.004345502,0.022710409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA,0.027040697,0.026491497,0,0.010551406,0,0.070982407,0.005011301,0.014150497,0.016414603,0.014778099,0.018190484,0.020636698,0,0.006572501,0.073957256,0.012364107,0.120719288,0.007504297,0.017126609,0.0063273,0.0923135,0.0244495,0.0164265,0.169274334,0,0,0.0251766,0.094755591,0.011223402,0.0828318,0.012617301,0.058675612,0.117672324,0.027171086,0,0.018382106,0.006587599,0.0365138,0.003368101,0.026723903,0.030877297,0.077573484,0.033553113,0.0341367,0.112384234,0.024651198,0.083183125,0.027107295,0.010391703,0.0914986,0.0066599,0,0.009935798,0.017947305,0.030704294,0.074845378,0.0092131,0.016237203,0.0696973,0.038908004,0.028488594,0.045584305,0.006870498,0.0059652,0.062707987,0.030144788,0.031981594,0.022567905,0.044857582,0.040799388,0.0372118,0.144611742,0.059468988,0.009477499,0.1339816,0.0492824,0.030520897,0.06698964,0.016952397,0.035446482,0.0097753,0.078016192,0.009291701,0.010562198,0.046137277,0.142001514,0.090859782,0,0.013376508,0,0,0.037106596,0.0310447,0.008729103,0.010670604,0.081314633
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_JC304,0,0,0,0,0,0,0,0,0.003845101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064071,0,0,0,0,0,0,0.0030332,0,0,0,0,0,0,0,0,0,0,0.0022504,0,0,0.0045515,0,0,0,0,0,0,0.004725196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_sp_4_3_54A2FAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002285399,0,0,0,0,0,0,0,0.0028232,0,0,0,0,0,0,0.0026906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065316,0,0,0.005616202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012680495,0,0,0,0,0,0,0,0,0.0052001,0,0,0,0,0,0.0107274,0,0.0020909,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,0.129208587,0.124875788,0.108479967,0.123131174,0.242643876,0.057320306,0.046526405,0.038171592,0.073944815,0.036049996,0.095351014,0.121058388,0.263755926,0.041948204,0.023686786,0.053842332,0.022069998,0.181981227,0.048906724,0.2398258,0.03228,0.0081429,0.1114501,0.042959209,0.137286773,0.09859702,0.0295948,0.053782995,0.159963932,0.0421504,0.167511217,0.133794127,0.070485314,0.08062586,0.166486017,0.138503942,0.083970292,0.073406,0.032976313,0.017677702,0.028071497,0.146769871,0.067513427,0.1674805,0.046590614,0.064463894,0.021339806,0.04950169,0.044189013,0.1244937,0.1224969,0.0355155,0.066988187,0.015512805,0.078228784,0.080587176,0.1649113,0.096484719,0.0295395,0.041386804,0.126477075,0.152613915,0.193733242,0.0418366,0.155102169,0.368596053,0.107934378,0.023440705,0.038745985,0.137717559,0.0671872,0.028515789,0.083570083,0.188751181,0.0159815,0.0916864,0.090803691,0.081068927,0.29783754,0.030775585,0.1149103,0.116507188,0.076631708,0.09933428,0.112184344,0.006361901,0.040614792,0.09939451,0.020469812,0.080488216,0.238564948,0.060461994,0.2002437,0.154015446,0.19923478,0.028886112
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_variabile,4.33E-05,6.52E-05,0,1.75E-05,0,9.24E-05,2.54E-05,0,0.0001162,7.00E-05,4.58E-05,5.37E-05,6.39E-05,1.14E-05,0.0001887,6.43E-05,0,0,0.0001078,1.59E-05,0.0004506,0,5.50E-06,9.28E-05,0,6.80E-05,2.93E-05,0,9.09E-05,0,0,3.71E-05,3.98E-05,0,0.0001036,5.73E-05,0,0.0001179,4.20E-05,4.75E-05,1.58E-05,8.70E-05,0.0001029,5.73E-05,0.0001362,6.90E-06,0,3.35E-05,0.0001122,0.0006707,0.0002297,6.70E-06,6.46E-05,9.17E-05,0,9.83E-05,4.20E-05,2.86E-05,5.23E-05,8.40E-05,5.97E-05,5.88E-05,0,8.96E-05,9.75E-05,5.92E-05,3.76E-05,4.23E-05,5.30E-05,0.0001669,0,0,0.0001578,0.0001237,0,7.97E-05,0,0.0002643,0,0.0001256,0.0001061,6.25E-05,7.35E-05,0,2.38E-05,0,0.0001797,2.34E-05,0,0,0,0,0.0018821,5.82E-05,0.003386201,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Halobacteroidaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121,0,0,0,0.0001766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai,0,0.028466097,0,0,0.005007699,0,0,0,0,0,0,0,0.005697601,0,0,0,0,0,0,0,0,0,0.0121644,0,0,0.017462103,0,0,7.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020395,0,0.012031304,0.0009273,0.075331577,0,0,0.0653289,0,0.010781898,0,0,0,0,0,0,0.006139901,0.016362293,0,0,0.0001557,0,0,0,0,0,0,0.003576799,0,0,0,0,0.055390189,0,0,0,0,0,0,0,0,0,0,0.016178806,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_29_1,0,0,0,0,0,0,0.026664703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006474502,0,0.0438422,0,0,0,0,0,0,0,0,0,0,0.012059101,0,0,0,0,0,0,0.006127798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_sp_D6,0,0,0,0,0,0,0.012615501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006126402,0,0,0,0,0,0,0,0,0,0,0,0,0.0038036,0,0,0,0,0,0,0.002899199,0,0,0,0,0,0,0,0,0,0,0,0.0135588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,0,0,0,0,0,0,0,0.0012322,0,0,5.43E-05,0,0,0,2.41E-05,0,0.0012346,0.0004194,0,4.08E-05,0,0,3.60E-06,0,0,0,0,0.0005993,0,0,0,0,0.0010904,0,4.48E-05,0,0.0010294,0,0,0.0020277,0,0.0001724,3.37E-05,0,0.006227502,0,0.0006072,0.0022989,0,0,0,0,0,0,0,0,0,0,0,0,0.0002201,0,0,0,0,2.85E-05,3.15E-05,0,0,0,0,0.002193299,0,0,0.0027379,0,0,0,0,1.94E-05,0,0,0,0,0,0.0012977,0.0002091,0,0,0,0,0,6.00E-06,0.0012084,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_innocuum,0,0,0.0001873,0,0,0,0.0005456,0,0,0,3.50E-06,0,0,0,7.56E-05,0,4.88E-05,0,0,0,0,0,0,0,0,0,4.36E-05,0,0,0,0,8.96E-05,0,0,0,0,0,0,0,0.0001186,0,5.21E-05,0.0001577,5.50E-06,2.36E-05,0,0,0,0.0002573,0,0,0,0,0,0,0,0,0,0,0,0,4.49E-05,0,0,0,1.83E-05,5.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001849,0,0,0,0,0,0,0,0,0.000237,0.0001033
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum,0,0,0,0,0,0,0,0.0020158,0,0,0,0,0,0,0,0,0.0004873,0,0,0,0,0,0,0,0,0,0,0.0001917,0,0,0,0,0.0004171,0,0,0,0.0006381,0,0,0.0007532,0,1.48E-05,0,0,0.003001601,0,0.0003403,9.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.42E-05,0,0,0,0,0,0,0,0,0,0.0003476,0.0011352,0,0,0.0021024,0,0,0,0,0,0,0,0,0,0,0.0012243,0,0,0,0,0,0,0,0.0001537,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_spiroforme,0,0,0,0,0,0,0,0,0.002770701,0,0,0,0,0,0.007010596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018092505,0,0,0,0,0,0,0,0,0,0,0,0,0.005588101,0,0,0,0.005744298,0,0.0012194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A,0,0,0.0001178,0,0,0,2.34E-05,0,5.26E-05,4.36E-05,1.09E-05,0,0,5.90E-06,9.45E-05,0,0,1.26E-05,0,0,0,0.0001655,0.0011178,9.90E-06,2.05E-05,0,9.80E-06,7.74E-05,0.0001848,0,0,0.0001645,0,0,0.0001384,6.44E-05,0,1.20E-05,0.0001628,0.0001197,0,2.99E-05,0.0002634,1.03E-05,8.27E-05,0,9.67E-05,0,1.07E-05,0,0.0002917,0,0,0,0,2.38E-05,0,0,0,9.60E-06,0,4.88E-05,0,0,0,0.0007373,2.78E-05,9.00E-06,0,0,0,0,0.0001199,4.53E-05,0.0001014,0.0001376,0,1.08E-05,0,0,0.0009222,0,0,0,6.97E-05,0.000213,0,0.0002252,0,0,8.54E-05,0,0,0,9.40E-05,3.18E-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,0,0.0001205,0,0,4.89E-05,0,5.80E-06,0,4.55E-05,1.41E-05,0.0002181,2.24E-05,0,0.0001135,0.0002931,6.08E-05,0.0001074,0,0,9.76E-05,0,0.0003445,1.92E-05,4.61E-05,8.68E-05,0,5.68E-05,5.30E-05,0.0001124,1.38E-05,2.56E-05,0,0,0,0.0001499,2.73E-05,0.0003997,0,0,5.10E-05,6.10E-05,0,0,0.0002336,0.0001558,0.0001085,0.000509,0.0019604,1.69E-05,0.0001124,5.66E-05,1.19E-05,0.011978198,0,0,0,0,0.0001587,0,3.00E-06,0,0.0001738,0,0,0.000152,0.001441899,9.70E-06,0,5.91E-05,0.00011,0,0,0.0001308,0,8.10E-06,0,6.00E-06,0.0001581,0,0.001285099,0.0002192,4.08E-05,0,0.0003504,0.0001241,0,0,0,8.43E-05,0,0,0,0.0004336,6.36E-05,8.54E-05,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_3_1_53,0,0,0,0,0,0,0,0,0,0,0.0001255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005201,0,0,0,0,0,0,0,2.14E-05,0,0,0,0,0,0,0.0003593,0,0.0001444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006519,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_5_2_54FAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002372499,0,0,0,0,8.68E-05,0,0,0,0,0,0,0,0.0002749,0,0,0,0.0002152,0,0,0,0.0002842,0,0,0,0,0.0001473,0,0,0.0003589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E-06,0,0,0,0.001429699,0,0,0,0,0,0.000423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,0,7.70E-06,0,0,0,0.0001255,7.57E-05,0,1.42E-05,8.74E-05,5.62E-05,2.81E-05,0,0,0.0006872,0,5.40E-06,0,0.0002887,0.0008124,0,9.70E-05,0.0002708,0.0001513,6.13E-05,0,2.70E-05,0.0001305,4.46E-05,0,0.0005789,0.0001634,7.90E-06,0.0001451,0.000616,6.81E-05,3.92E-05,0,4.05E-05,0.0001039,0,4.20E-06,0.0004277,6.62E-05,0,0,3.55E-05,0,0.0015789,5.70E-06,2.78E-05,0,0,0,0,0.000359,0,2.76E-05,0,1.91E-05,5.96E-05,0.0004214,6.04E-05,0,0,4.34E-05,0,2.70E-06,3.83E-05,0,0,1.25E-05,0.0001159,0,2.45E-05,6.15E-05,0,3.68E-05,0,0.0001126,0.0008285,0,0,0,0.0001099,5.43E-05,0,0,0,0,0,0,0,0,0,5.24E-05
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,0.011998999,0,0.014291996,0,0.0022808,0,0.012451101,0.008511098,0.013475603,0,0,0,0,0,0,0,0.033448397,0,0,0,0.024237,0,0.0419247,0,0,0,0,0,0.000397,0,0.0002375,0,0,0.026838287,0.0016827,0,0.008187999,0.0510862,0.023341009,0,0,0,3.34E-05,0.0145555,0,0.0048275,0,0.011857998,0.002794301,0,0,0.0494181,0,0.006631702,0,0,0,0.006949101,0.0881482,0,0.009161798,0.087760209,0.004006399,0,0,0.048422481,0,0.046598709,0.007468397,0,0.0334469,0,0,0,0.0276035,0,0,0.011775489,0,0,0.0302506,0,0.0026937,0,0,0,0,0,0,0,0,0.007670799,0,0,0.032654113,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_cylindroides,0,0,0,0,0.0025455,0,0,0,0,0,0.0005308,0,0,0.0011512,0,0,0,0,0,0.0100664,0,0,0,0,0.0010349,0,0,0,0,0.0151888,0,0,0,0,0,0.0001453,0.0004243,0,0,0,0,9.39E-05,0,0.0022797,0,0,0,0,0,0.0015173,0,0,0.004767499,0,0,0,0,0.0002978,0,0,0,0.0008321,0,0,0,0,0,0,0,0,0.0003539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015341,0,0,0,0,0.007092503,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_dolichum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001544401
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0,0,4.06E-05,4.67E-05,0,0.000203,0.0004561,6.37E-05,0.000322,0.0001602,9.40E-05,0.000588,0.0006551,0.0001879,0.0004437,1.05E-05,3.13E-05,0.0003364,0,0.0005449,0.0001767,0.000813,0,0.0009814,9.26E-05,0,0.0003788,0.0003846,0,0.0003692,0,8.94E-05,0.0014784,0.0002972,0,0.0007385,0,7.40E-05,0.000373,0.00088,0.0021532,0.0009586,0.0001107,0.0011061,0.001996601,0.0007107,0.0009686,0.0002047,0.002433601,0.0004969,0.0004112,0.0002122,1.64E-05,0,0,0.000331,6.22E-05,3.13E-05,0.0001463,0.0002205,0.0003018,0.0002561,4.10E-05,0,0.0002046,0.001318399,0.00038,8.22E-05,0.0004769,7.47E-05,0,0,0.0007952,0,0.0001137,9.77E-05,6.39E-05,0.0003773,6.47E-05,0.001213899,0.0003061,0.0007095,0,0.0001325,0.0007903,0.000146,0,0,0,0,0,0.0003656,0.0003845,0,0,0.0002185
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,0,0.0001183,0,7.67E-05,0,0,0,0.0002994,0,0,0.0002032,0,0,3.15E-05,0,2.73E-05,4.42E-05,0,0.0001326,0,0,0.0001278,7.16E-05,0,0.0001836,0.0001712,0,8.72E-05,0,0.0002423,0,0.0002493,0,6.22E-05,0.0001017,0.0007687,0,0,0,0,0.0001973,0,0.0001113,0,0,0,0,0.0002751,0,0,0.0002987,5.28E-05,0,0,0,0,3.67E-05,0.0002157,6.54E-05,0.0003333,0,6.50E-06,0.0001439,1.70E-05,0.0002008,0.0001802,0.0002907,5.39E-05,0,0.0003514,0.0006674,0,0,0,0.0003701,2.00E-04,0,0,8.06E-05,0,6.40E-06,0,3.80E-05,0.0002237,0,0,0.0004832,0,8.65E-05,0,0.0001709,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,0,0,0,0,0,0,0,1.27E-05,2.31E-05,0,0,0,0,0,4.64E-05,0,9.74E-05,0,0,0,0,0,1.56E-05,0.0001028,0.000177,0,0,0,0,0,0,5.84E-05,0,0,7.09E-05,0,0,0,0.0001298,0,3.44E-05,7.74E-05,0,4.51E-05,5.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47E-05,0,9.80E-06,2.76E-05,0,0,0,0,0,0,4.55E-05,0,0,0.0001249,0,0,0,2.34E-05,0,0,8.60E-05,0,0,0,0,0,0,0,0,0,0,0
